문항 번호,정답,예상 정답률,선택 비율 예상,추정 변별도,추정 타당도,오류 가능성,해설,정답 풀이,오답 풀이,검토 메모(장점),검토 메모(약점),Comment 제목,Comment 내용
1,④,85%,"① 2%
② 3%
③ 5%
④ 85%
⑤ 5%","하, 1.5/5","중, 3.0/5",낮음,"제시된 글은 지형과 특산물을 활용한 지역화 사례(터키 이스탄불, 프랑스 샹파뉴)를 다루고 있다.","ㄴ. 이스탄불은 아시아와 유럽의 경계에 위치하여 과거부터 이슬람교와 크리스트교 문화가 교차하고 섞이는 점이 지대의 성격을 띤다.
ㄹ. 지리적 표시제는 특정 지역의 기후, 지형 등 지리적 특성을 반영한 우수 농산물이나 가공품에 그 지역의 이름을 상표권으로 인정해 주는 제도로, 지역 브랜드 가치를 높이고 지역 정체성을 강화하는 데 기여한다.","ㄱ. 원격 탐사 자료는 접근이 어려운 지역의 넓은 범위를 주기적으로 관측하는 데 유리한 공간 정보이다. 지역 중심지와 주변 지역 간의 상대적 중요도를 나타내는 장소 간의 계층성을 파악하는 것은 원격 탐사만으로는 어렵다.
ㄷ. 스파클링 와인과 같은 자연적, 인문적 특성을 설명하는 내용은 지리 정보 중 속성 정보에 해당한다. 공간 정보는 위치나 형태 등의 공간적 특성을 의미한다.","1단원의 여러 기초 개념(원격 탐사, 점이 지대, 지리 정보, 지리적 표시제)을 하나의 세트 안에서 무난하게 점검할 수 있음.",너무 정형화된 오답(공간 정보/속성 정보 말바꾸기 등) 구조라 상위권 변별에는 전혀 도움을 주지 못함. 1번 문항 특성상 당연한 면도 있음.,샴페인의 원조 부심,"흔히 축하할 때 터뜨리는 '샴페인'이 사실 프랑스의 '샹파뉴(Champagne)' 지역 이름인 거 알고 있었음? 여기 생산자들이 하도 원조 부심이 강해서, 이 지역 밖에서 만든 건 아무리 똑같이 만들어도 샴페인이라는 이름을 절대 못 쓰게 막아놨어. 그게 바로 지리적 표시제 위력의 대표적 사례야."
2,4,85%,"① 5%, ② 2%, ③ 3%, ④ 85%, ⑤ 5%","하, 1.5/5","중, 3.0/5","낮음
지도상에 표시된 각 환경 문제의 분포(사헬 지대, 아마존 분지, 대서양 환류 중심부)가 너무나 직관적이고 전형적이어서 이견의 여지가 없다.",아프리카의 사헬 지대와 남아메리카의 파타고니아 등 건조·반건조 지역 주변부에 분포하는 A는 사막화이다. 아마존 분지와 아프리카 콩고 분지 등 적도 부근에 집중된 B는 열대림 파괴이다. 대서양의 아열대 환류 한가운데 모여 있는 C는 해양 쓰레기 섬이다.,"④ 해양 쓰레기 섬(C)은 바다로 유입된 플라스틱 등 각종 부유물이 거대한 해류의 순환(환류)을 타고 이동하다가, 해류의 흐름이 정체되어 물길이 맴도는 소용돌이 중심부(아열대 고압대 부근 무풍대)에 갇혀 집적되면서 주로 나타난다.","① 사막화(A) 방지를 위해 체결된 주요 조약은 유엔 사막화 방지 협약(UNCCD)이다. 런던 협약은 선박이나 항공기 등에 의한 폐기물 해양 투기를 방지하기 위한 조약이다.
② 열대림 파괴(B)로 인해 식생의 뿌리가 토양을 움켜쥐는 힘이 사라지면, 빗물이나 바람에 의한 토양 침식이 오히려 가속화(강화)된다.
③ 아랄해 쇠퇴 현상은 대규모 관개 농업으로 하천 용수가 고갈되면서 호수 면적이 급감하고 호수 바닥이 말라붙는 호수 건조화(혹은 호수 염분 농도 증가 및 주변 사막화)의 대표적 사례이다. 해양 쓰레기 섬(C)과는 무관하다.
⑤ 강수량이 매우 적은 건조 기후 지역인 중앙아시아는 사막화(A)의 발생 범위가 훨씬 넓다. 반면 강수량이 풍부하고 기온이 높은 적도 쪽에 형성된 열대림 파괴(B)는 중앙아시아에서 발생하기 어렵다.",세 가지 거대한 지구적 환경 문제의 공간적 분포를 지도 하나에 깔끔하게 병치하여 시각적 비교가 용이함.,"범례의 분포 패턴 자체가 너무나 직관적이어서(특히 C가 바다 한가운데 대놓고 소용돌이치고 있음) 텍스트를 깊이 고민하지 않아도 시각 지능만으로 정답이 튀어나옴.
- 수정 필요 여부: 불필요
- 수정 제안: 없음",쓰레기 소용돌이의 늪,"지도에 그려진 점선 화살표만 봐도 바닷물이 크게 빙글빙글 도는 환류의 중심에 쓰레기들이 모여든다는 걸 시각적으로 떠먹여 주는 자비로운 문제임. 쓰레기가 해류를 타고 계속 흘러가면 어딘가 한곳에 쌓이지 않고 다 흩어지겠지만, 저렇게 바람도 잘 안 불고 물살이 맴도는 '아열대 무풍지대'의 환류 한가운데 갇혀서 거대한 플라스틱 대륙을 이룬다는 건 환경 파트의 슬픈 단골 레퍼토리임.. 1번부터 10번 사이에 배치되어 애들 숨통 좀 트이게 해주는 전형적인 힐링 문항임."
3,⑤,65%,"① 5%
② 10%
③ 10%
④ 10%
⑤ 65%","중, 3.0/5","상, 4.0/5",낮음,"자료는 특정 국립 공원의 화산 경관에 대해 설명하고 있다. 용암 돔, 칼데라, 환태평양 조산대, 화산회토 등 주요 화산 지형 요소들을 다룬다.","ㄷ. 환태평양 조산대(불의 고리)는 태평양 주변을 둘러싼 신기 습곡 산지와 화산대를 의미하며, 미국 캘리포니아의 샌안드레아스 단층은 이 조산대에 포함되는 대표적인 보존형 경계이다.
ㄹ. 화산회토는 화산 폭발 시 분출된 화산재가 쌓여 형성된 토양으로, 각종 미네랄을 풍부하게 함유하고 있어 토양이 비옥하여 주변 지역의 농경에 유리하게 작용한다.","ㄱ. 종상 화산의 형태인 용암 돔은 이산화규소(SiO2) 함량이 많아 점성이 높고 유동성이 작은 유문암질 또는 안산암질 용암이 분출하여 형성된다. 현무암질 용암은 점성이 작고 유동성이 커서 주로 순상 화산이나 용암 대지를 형성한다.
ㄴ. 칼데라는 화산 폭발 이후 화구 구덩이가 비어지면서 그 주변이 함몰되어 형성된 대규모 분지 지형으로, 유수의 침식이 아닌 화산 활동 및 지각 변동에 의해 형성되었다.","화산 지형 단원의 필수 개념(용암의 성질과 화산 형태, 칼데라 형성과정, 화산 토양의 특성)을 한 문제에 골고루 압축하여 묻고 있음. 샌안드레아스 단층을 불의 고리에 묶어 판 구조론까지 연결한 점이 훌륭함.","보기 ㄱ과 ㄴ이 너무 전형적인 오답(현무암질-유문암질/안산암질 오인, 함몰-침식 오인)이어서, 어느 정도 훈련된 학생이라면 소거법으로 ⑤번을 쉽게 찾아낼 수 있음. 매력적인 오답이 부족함.","샌안드레아스, 불의 고리 멤버 맞음!","조산대라고 하면 무조건 산맥 솟아오르고 화산 빵빵 터져야 한다고 생각하기 쉬운데, 샌안드레아스 단층처럼 어긋나는 보존형 경계도 환태평양 조산대(불의 고리) 라인에 엄연히 포함돼. 지진이 워낙 자주 나서 재난 영화 단골 소재로도 쓰이니까, 화산은 잘 안 터져도 지진 핫스팟이라는 거 기억해 둬."
4,3,80%,"① 2%, ② 5%, ③ 80%, ④ 10%, ⑤ 3%","중, 2.5/5","중, 3.5/5","낮음
빙하 지형과 주빙하 지형의 형성 원리 및 기후대 분포를 묻는 텍스트가 대단히 전통적이며 예외의 여지가 없어 정확한 소거를 가능하게 한다.","학생의 첫 번째 발문에서 북유럽이나 캐나다 북부의 ㉠ 툰드라 기후를 제시하였고, AI는 한대 기후대에서 발생하는 대표적인 빙하 지형(드럼린, 에스커, 피오르 해안)과 주빙하 지형(구조토)의 특성을 열거하고 있다.","③ ㉢ 구조토는 여름철에만 영상의 기온으로 지표층이 녹는 툰드라(㉠) 기후의 활동층에 주로 형성되는 주빙하 지형이다. 빙설 기후 지역은 일 년 내내 최난월 평균 기온조차 영상으로 올라오지 않으므로, 토양 속 수분이 얼고 녹기를 반복하는 융해와 동결 교대 작용이 일어나기 힘들다.","① 북반구 유라시아 북부 등의 툰드라 기후 지역(㉠)에서는 전통적으로 이끼 등 짧은 풀을 먹이로 하는 순록 유목이나 사냥을 통해 생활을 영위해 왔다.
② ㉡ 드럼린은 거대한 만년설 대륙 빙하가 긁어내며 이동하다 그 바닥에 쌓인 지형이다. 따라서 빙퇴석과 마찬가지로 입자 크기 별로 고르게 가려지는 유수에 의한 퇴적(분급도가 양호함)과 달리, 퇴적물의 크기가 뒤죽박죽 섞여 있어 분급이 상시 불량하다.
④ 빙하 아랫바닥에서 녹아 흐르는 융빙수에 의해 형성된 ㉣ 에스커는 흐르는 물컹한 하천을 따라 길게 토사가 선상으로 쌓여, 구불구불한 좁은 도로 내지는 둑(제방) 모양을 띤다. 유수에 의한 퇴적이므로 빙퇴석이나 드럼린보다 분급이 비교적 양호하다.
⑤ ㉤ 피오르 해안은 깊은 빙식 계곡(U자곡)이 침수되어 다도해와 협만이 발달한 지형으로, 스칸디나비아반도의 서쪽 산맥을 낀 노르웨이 남서부 등에서 매우 전형적으로 관찰된다.","대화형 AI 인터페이스(ChatGPT 등)를 활용한 최신 트렌드의 레이아웃을 도입하여, 빙하와 주빙하 지형의 필수 특성을 한눈에 묻고 있다.","세부적인 지형 형성 작용(분급도, 제방 형태)을 모르는 학생도 ③번 선지의 기후 개념 모순(빙설 vs 툰드라)이 너무 극명하게 드러나 정답을 쉽게 도출함.
- 수정 필요 여부: 불필요
- 수정 제안: 없음",인공지능의 지형 스터디,AI가 주절주절 읊어주는 지형 설명을 보고 틀린 걸 잡아내는 최신식 껍데기의 고전 문제임. 툰드라 기후의 핵심인 '여름 융해 활동층'의 개념을 아는지 묻는 전통적인 역발상 함정이 ③번에 아주 예쁘게 포장되어 있음.. 얼음 구경만 일 년 내내 해야 하는 빙설 기후에서 땅바닥이 녹았다 얼었다를 반복할 리가 없잖아? 구조토는 무조건 툰드라(ET) 기후의 전유물임.
5,⑤,65%,"① 10%
② 5%
③ 10%
④ 10%
⑤ 65%","중, 3.5/5","상, 4.5/5",낮음,"지도는 북극해를 중심으로 한 북반구 일대이다. A는 캐나다 내륙 대평원, B는 북아메리카 북부 툰드라 지대, C는 그린란드, D는 유라시아 북부 연안, E는 유라시아 동부 내륙이다.",⑤ 시베리아 동부 내륙인 E는 유라시아 북부 연안에 위치한 D보다 바다의 영향을 적게 받아 대륙도가 높으므로 기온의 연교차가 크다. ,"① A 일대에서는 주로 상업 목적의 기업적 밀 농업이 이루어진다.
② 툰드라 지대인 B에서 토양의 활동층이 녹아내리는 솔리플럭션 현상은 여름철에 나타난다.
③ C의 지표는 대부분 대륙 빙하로 덮여 있다. 과거 빙하의 퇴적을 받은 빙력토 평원은 북아메리카 오대호 연안 등에 넓게 분포한다.
④ 산록 선상지의 복류수를 이용하는 전통적 지하 관개 수로인 카나트는 이란 등 서남아시아 건조 기후 지역에 주로 분포한다.","극 중심 비례 지도 상에서 대륙도와 연교차의 관계를 파악하고, 여러 단원(농업, 툰드라, 빙하, 건조 기후)의 지식을 통합적으로 점검할 수 있음.","이전 문항과 매우 유사한 구조이며, 선지 ④ 외에는 동일하게 구성됨. 소거법을 통한 정답 도출이 어렵지 않은 편임.",극한의 연교차 탑 티어,동시베리아 내륙은 툰드라 기후인 북극해 연안보다 바다의 영향을 덜 받아서 여름엔 은근히 온도가 올라가고 겨울엔 살인적으로 추워. 그래서 지구상에서 가장 연교차가 큰 스팟이 되지. 내륙으로 들어갈수록 얄짤없이 기온 변동폭이 커진다는 대륙도 개념을 이 지도에서 확실히 눈에 발라두길 바라.
6,1,65%,"① 65%, ② 5%, ③ 10%, ④ 15%, ⑤ 5%","중, 3.5/5","상, 4.5/5","낮음
GDP 규모 및 산업별 구조 수치와 각 국가의 경제 편별 특성이 명확하게 일치하며, 선지의 참거짓 여부(강의 흐름, 성비, 인구 규모 등)가 명백한 팩트에 기반함.","1인당 국내 총생산(원 크기)이 넘사벽으로 크고 3차 산업 비율이 70%를 넘는 (라)는 하이테크 산업 중심의 이스라엘이다. 남은 세 산유국 중 1인당 국내 총생산이 가장 큰 (나)는 사우디아라비아이다. (가)와 (다) 중 2, 3차 산업 비율의 합이 100%에 가까워 1차 산업 비율이 2% 남짓인 (가)는 석유 의존도가 극심한 이라크이며, 1차 산업 비율이 약 13%로 계산되어 상대적으로 농업 비중이 있는 (다)는 이란이다.",① 터키(튀르키예) 산지에서 발원한 유프라테스강과 티그리스강은 시리아와 이라크(가)를 관통하여 페르시아만으로 유입된다. 고대 메소포타미아 문명의 발상지이다.,"② 인구가 8천만 명 이상이며 산지와 고원 일대에 농경지가 발달한 이란(다)이 이라크(가)보다 밀 생산량이 훨씬 많다.
③ 사우디아라비아(나)는 이집트에 이어 세계적인 대추야자 생산국으로 이란(다)보다 생산량이 많다.
④ 대규모 건설 및 화석 에너지 개발을 위해 외국인 남성 노동자가 폭발적으로 유입된 사우디아라비아(나)는 이스라엘(라)보다 청장년층 남초 현상이 뚜렷하여 성비가 높다.
⑤ 네 국가 중 총인구가 가장 많은 국가는 약 8,800만 명 규모의 이란(다)이다. 사우디아라비아(나)의 인구는 그 절반 이하 수준이다.","주어진 두 축의 수치(2, 3차 산업)를 더해 보이지 않는 변수(1차 산업 비율)를 역산해 내어, 농업이 발달한 이란과 석유 '원툴'인 이라크를 구분하게 한 깔끔한 자료 해석 문항임.","(가)와 (다)의 확정적 도출에 실패했더라도 ①번 선지의 유프라테스·티그리스 = 이라크 공식이 너무나 확고한 기본 지식이라 소거법 없이 정답으로 진입할 확률이 존재함.
- 수정 필요 여부: 불필요
- 수정 제안: 없음",서남아시아 경제 체급과 하천의 축복,원 크기만 보고 이스라엘과 사우디를 발라내는 건 숨 쉬듯이 자연스러워야 함. 이라크와 이란이 헷갈린다면 x축과 y축 수치를 더해서 100에서 빼보면 답이 나옴. 농사를 지어 1차 산업 수치가 두 자릿수로 잡히는 이란(다)과 기름에만 목숨 거는 이라크(가)가 명확히 분리됨.. 티그리스 유프라테스 강줄기가 이라크 한복판을 뚫고 지나간다는 건 세계지리 첫 장부터 나오는 근본 지식이니 1초 만에 낚아채야 함.
7 (산맥),⑤,60%,"① 5%
② 15%
③ 10%
④ 10%
⑤ 60%","중, 3.5/5","상, 4.0/5",낮음,"아프리카 북서부의 (가)는 아틀라스산맥, 아시아와 유럽의 경계인 (나)는 우랄산맥, 프랑스와 이탈리아 국경 빙하 지형 일대인 (다)는 알프스산맥이다.","ㄷ. 알프스산맥은 중생대 말에서 신생대에 걸쳐 형성된 신기 습곡 산지에 해당한다.
ㄹ. 아틀라스산맥과 알프스산맥은 모두 알프스·히말라야 조산대에 속한다.","ㄱ. 아틀라스산맥은 아프리카판(대륙판)과 유라시아판(대륙판)이 수렴하여 형성되었다.
ㄴ. 우랄산맥은 고생대에 형성된 고기 습곡 산지로 안정이 지속되어 지진과 화산 활동이 거의 일어나지 않는다.","각 대륙별 주요 산맥을 교역로, 육상 교통로, 자연적 경계등의 인문지리적 맥락과 엮어 출제하여 단순 위치 암기에서 벗어나 입체적 이해를 묻고 있음.",아틀라스산맥이 대륙판과 대륙판의 충돌로 형성되었다는 사실은 학생들이 헷갈리기 쉬운 세부 개념이라 체감 난도가 약간 높을 수 있음.,아틀라스 산맥의 출생의 비밀,"아프리카 북서부에 나 홀로 솟아 있는 아틀라스 산맥, 사실 히말라야나 알프스랑 동기압동창인 알프스·히말라야 조산대 멤버야. 게다가 유라시아판(대륙판)과 아프리카판(대륙판)이 정면충돌해서 융기한 근육질 산맥이지. 대륙판끼리 부딪혔다는 이 디테일이 킬러 선지로 자주 뜨니까 이참에 머리에 꼭 새겨둬."
8,1,45%,"① 45%, ② 15%, ③ 20%, ④ 10%, ⑤ 10%","상, 4.5/5","상, 4.5/5","낮음
위도와 경도로 지정된 세 도시의 기후대 특성이 뚜렷하며, 편차를 이용한 1월과 7월의 우기/건기 판별 수식이 기후학적 사실과 논리적 모순 없이 들어맞는다.","경위도를 통해 A는 남반구 사바나 기후인 오스트레일리아 다윈, B는 북반구 지중해성 기후인 미국 샌프란시스코, C는 온대 습윤 기후인 아르헨티나 부에노스아이레스임을 알 수 있다. ㉠ 시기에 (가)의 강수량이 압도적으로 많고, ㉡ 시기에 (다)만 강수량이 평균 이상이므로 이를 통해 지역을 매칭한다.","① 사바나 기후인 A(다윈)는 적도 수렴대의 영향을 받는 1월에 강수량이 폭발적으로 많아 ㉠(1월) 시기 강수량 편차에서 압도적인 양(+)의 값을 나타내는 (가)이다. 7월인 ㉡ 시기에는 A와 북반구 지중해성 기후인 B(샌프란시스코) 모두 아열대 고압대의 영향을 받아 건기로 강수량이 극히 적다. 반면 온대 습윤 기후인 C(부에노스아이레스)는 연중 강수가 고른 편이므로 남은 두 지역에 비해 우위를 점해 유일하게 양(+)의 편차를 보이는 (다)가 C, 남은 (나)가 B이다.","② 7월(㉡)에 강수량이 존재하는 (다)를 B(샌프란시스코)로 잘못 매칭하였다.
③ 1월에 강수량이 집중되는 (가) 지역을 여름이 건조한 지중해성 기후 B 지역으로 잘못 판단하였다.
④ 두 시기의 강수 패턴과 지역별 기후 특성을 모두 반대로 해석하여 배열한 결과이다.
⑤ 1월과 7월 편차값의 부호를 반대로 읽어 (가)를 C로, (다)를 A로 오판하였다.","막연한 기후 파편 암기가 아니라 절대적인 경위도 좌표 공간 감각을 요구하며, 수리적 편차를 통해 남반구와 북반구의 기후 교차를 치밀하게 엮어냄.","경위도 좌표 암기에 취약한 학생은 문제의 진입조차 불가능하여 자료(강수량 편차) 해석 능력 자체를 평가받지 못하고 찍게 됨.
- 수정 필요 여부: 불필요
- 수정 제안: 없음",경위도 암기와 편차의 콜라보,"다윈, 샌프란시스코, 부에노스아이레스 위치를 대륙 지형도 없이 쌩 좌표로 던져주고 기후 편차를 묻는 가차 없는 문제임. 7월에 다윈과 샌프란시스코 둘 다 비가 한 방울도 안 와서 마이너스 편차를 찍는다는 걸 이용해, 혼자 비가 내리는 부에노스아이레스(다)를 핀셋으로 뽑아내는 게 이 문제의 존재 이유임.. 좌표만 보고 도시랑 기후대가 1초 만에 안 나오면 3점 그대로 헌납해야 함."
9,④,50%,"① 10%
② 15%
③ 10%
④ 50%
⑤ 15%","상, 4.5/5","중, 3.5/5",낮음,"(나) 작물은 생산량 최상위권인 A와 D가 각각 3억 톤 이상이므로 옥수수이고, 이 중 수출량이 압도적인 A가 미국, D가 중국이다. (가) 작물은 생산량이 중국(D)에 이어 1억 톤을 넘는 C가 인도이며, 수출에서 B(브라질)보다 A(미국)가 우위를 보이므로 밀이다. 따라서 A는 미국, B는 브라질, C는 인도, D는 중국이다.",④ 세계 소(Cattle) 사육 두수는 최근 기업적 방목을 크게 늘린 브라질이 인도를 제치고 1위를 차지하고 있다. 따라서 브라질(B)은 인도(C)보다 소 사육 두수가 많다.,"① 그래프의 수치를 대입하면 생산량 대비 수출량 비율은 미국(A, 약 16%)이 브라질(B, 약 27%)보다 낮다.
② 서안 해양성 등 밀 농사에 적합한 기후가 넓게 나타나는 유럽은 옥수수(나)보다 밀(가) 생산량이 더 많다.
③ 돼지 사육 두수는 전 세계 사육량의 절반 가까이를 차지하는 중국(D)이 미국(A)보다 많다.
⑤ 브라질(B)은 중국(D)보다 총 곡물 생산량은 적지만 인구 규모가 현저히 작기 때문에(약 2억 1천만 명), 1인당 곡물 생산량은 브라질이 더 많다.","주요 작물(밀, 옥수수)의 생산·수출 데이터를 통해 미국의 상업적 농업, 아시아의 인구 부양적 농업 등 각국의 특징을 정량적으로 유추해 내도록 잘 유도함.",소 사육 두수가 인도에서 브라질로 역전된 최신 통계를 모르면 나머지 선지 계산에 불필요한 시간이 소모되어 통계 암기형 문항으로 변질될 위험이 존재함.,소 사육 두수 1위는 이제 브라질,"세계지리 공부할 때 오랫동안 '소 사육=인도 1위'라는 공식이 국룰이었지? 근데 최근 몇 년 새 아마존을 깎아내고 목초지를 맹렬히 개간한 브라질이 결국 인도마저 제치고 소 사육 1위 타이틀을 먹었어. 최근 수능이나 모의평가에서도 이 역전된 데이터를 정답 선지로 즐겨 쓰고 있으니까, 책에 옛날 통계가 적혀 있더라도 무조건 '소는 브라질 1위, 인도 2위'로 머릿속에 덮어쓰기 해 놔."
10,5,50%,"① 5%, ② 5%, ③ 25%, ④ 15%, ⑤ 50%","상, 4.0/5","상, 4.5/5","낮음
지역별 도시화 과정의 역사적 맥락과 인구 밀도, 국토 면적 및 인구 규모 통계가 오차 없이 맞물려 대상을 명확히 고정할 수 있다.","1970년대 이후 이촌향도 현상으로 급속하게 도시화율이 치솟은 (가)는 남아메리카 공동 시장(MERCOSUR)이다. 높은 도시화율에 비해 국토 면적이 매우 넓어 인구 밀도가 바닥에 깔리는 (나)는 미국·멕시코·캐나다 협정(USMCA), 도시화율이 완만하고 인구 밀도가 두 번째로 높은 (다)는 유럽 연합(EU)이다. 인구 밀도가 가장 가파르게 치솟으면서도 도시화율은 50%대에 머물러 있는 (라)는 동남아시아 국가 연합(ASEAN)이다.",⑤ 세계 국토 면적 2위와 3위 국가인 캐나다와 미국이 포함된 미국·멕시코·캐나다 협정(나)은 네 경제 블록 중 회원국의 국토 총면적이 가장 넓다.,"① 남아메리카 공동 시장(가)의 본부는 우루과이의 몬테비데오에 위치하며, 이는 뉴욕, 런던, 도쿄 같은 최상위 계층의 세계 도시가 아니다.
② 단일 통화(유로화)를 사용하며 초국가적 의회와 행정 기구를 갖춘 유럽 연합(다)이 네 경제 블록 중 정치·경제적 통합 수준이 가장 높다.
③ 개발도상국이 일부 포함된 27개국 체제의 유럽 연합(다)보다 세계 최대 경제 대국인 미국과 선진국 캐나다가 주도하는 미국·멕시코·캐나다 협정(나)의 1인당 역내 총생산 평균이 더 많다.
④ 2020년 기준 약 5억 명의 인구에 80% 이상의 도시화율을 보이는 미국·멕시코·캐나다 협정(나)의 도시 인구(약 4억 명 이상)가, 약 6억 7천만 명의 인구 중 50% 남짓이 도시에 거주하는 동남아시아 국가 연합(라)보다 많다.","막연한 블록 명칭 암기 대신, 대륙별 인구 밀도와 도시화의 역사적 궤적을 묻는 훌륭한 자료 통합적 구조를 취하고 있음.","캐나다와 미국의 면적 규모가 너무 압도적이라, (나) 단서 하나만 제대로 식별해도 정답 ⑤번을 고르는 데 무리가 없어 다른 매력적인 선지의 기능이 약화됨.
- 수정 필요 여부: 불필요
- 수정 제안: 없음",괴물 같은 면적의 USMCA,도시화율은 높은데 인구 밀도는 바닥을 기어 다니는 (나)의 그래프를 보고 바로 캐나다와 미국의 광활한 영토가 떠올라야 함. 러시아 다음가는 면적을 자랑하는 캐나다에 텍사스를 품은 미국까지 한 지붕 아래 묶여 있는 USMCA는 면적 스탯에서 다른 경제 블록들을 압살함.. ④번에서 도시화율과 총인구를 곱해 실제 파이(도시 인구)를 일일이 계산하게 만드는 건 평가원의 고전적이고 확실한 시간 잡아먹기 스킬임.
